Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
DMART,EQ,1151.8,1149.0,1159.8,1140.55,1148.75,1149.45,1150.08,320292,36836010935000.0,12140,103970,0.3246
DMART,EQ,1149.45,1151.9,1152.9,1122.4,1126.1,1129.15,1137.94,281650,32049970950000.0,11475,135328,0.4805
DMART,EQ,1129.15,1129.0,1140.4,1119.0,1127.5,1125.5,1128.13,322646,36398642040000.0,17650,132927,0.41200000000000003
DMART,EQ,1125.5,1129.95,1132.05,1095.0,1100.0,1100.2,1108.29,507726,56270531720000.01,19687,233435,0.4598
DMART,EQ,1100.2,1108.8,1133.0,1078.0,1105.0,1098.05,1111.72,568189,63166760000000.0,28534,218462,0.38450000000000006
DMART,EQ,1098.05,1106.95,1132.0,1106.1,1120.0,1122.2,1119.32,429197,48040937225000.0,23491,168534,0.39270000000000005
DMART,EQ,1122.2,1122.0,1170.0,1115.0,1166.8,1159.65,1147.39,895299,102726063530000.0,30805,343334,0.3835
DMART,EQ,1159.65,1166.0,1179.95,1156.15,1160.3,1160.95,1169.47,593853,69449119779999.99,20933,225509,0.3797
DMART,EQ,1160.95,1162.9,1164.0,1118.0,1122.15,1122.15,1132.84,546437,61902787925000.0,29404,275870,0.5049
DMART,EQ,1122.15,1122.8,1122.8,1093.05,1098.0,1098.4,1104.06,452771,49988799340000.0,20514,203563,0.4496
DMART,EQ,1098.4,1103.2,1123.0,1103.2,1114.0,1112.6,1113.89,320691,35721464630000.0,17049,132578,0.41340000000000005
DMART,EQ,1112.6,1120.2,1131.8,1098.05,1108.0,1106.05,1108.89,627174,69546396145000.01,26075,320768,0.5114
DMART,EQ,1106.05,1110.0,1118.9,1103.35,1105.95,1106.15,1109.07,189756,21045281295000.0,10076,73862,0.38920000000000005
DMART,EQ,1106.15,1110.1,1124.8,1105.35,1109.0,1112.3,1114.63,396018,44141432185000.0,18917,177614,0.4485
DMART,EQ,1112.3,1115.1,1143.9,1115.1,1138.5,1137.8,1132.43,630300,71376909530000.0,23028,237641,0.37700000000000006
DMART,EQ,1137.8,1143.4,1156.0,1131.0,1146.3,1146.3,1146.33,578321,66294419550000.0,20798,201172,0.3479
DMART,EQ,1146.3,1152.0,1163.0,1145.1,1147.0,1149.9,1154.43,500452,57773790465000.0,14824,173737,0.3472
DMART,EQ,1149.9,1140.1,1149.0,1122.4,1129.0,1129.85,1134.72,217757,24709343855000.0,7940,84551,0.3883
DMART,EQ,1129.85,1133.8,1141.1,1115.0,1140.0,1128.25,1129.92,248227,28047712230000.0,11846,111907,0.4508
DMART,EQ,1128.25,1138.0,1147.0,1122.85,1124.0,1125.55,1131.54,235348,26630533895000.0,10956,94185,0.40020000000000006
